# source_repo	commit	result	notes
https://github.com/ThatUsernameAlreadyExist/TECKIN-TC100-Anyka-AK3918-camera-hacks.git	ee11e9d	hash-identical	25/25 baseline package hashes match
https://github.com/morgeek/TECKIN-TC100-Anyka-AK3918.git	2d2f5bd	hash-identical	25/25 baseline package hashes match
https://github.com/TechTimeGuy/teckin-tc100-anyka-ak3918-camera-hacks.git	ee11e9d	hash-identical	25/25 baseline package hashes match
https://github.com/wg1k/TECKIN-TC100-Anyka-AK3918-camera-hacks.git	ee11e9d	hash-identical	25/25 baseline package hashes match
